frequency_hz,pulse_number,response_mean_percent,response_sem_percent,tau_rec,tau_facil,U,n_trials,cv
1,1,100.0,0.0,460.0,20.0,0.32,30,0.2
1,2,97.83888468761384,3.320469417800275,460.0,20.0,0.32,30,0.2
1,3,97.35695187043439,3.2209712581784564,460.0,20.0,0.32,30,0.2
1,4,97.30989409385506,3.213849629127101,460.0,20.0,0.32,30,0.2
1,5,97.30444093368693,3.2132048074811235,460.0,20.0,0.32,30,0.2
1,6,97.30374605190224,3.213136483711524,460.0,20.0,0.32,30,0.2
1,7,97.30365215632688,3.2131284050865627,460.0,20.0,0.32,30,0.2
1,8,97.30363897344587,3.2131273710808386,460.0,20.0,0.32,30,0.2
1,9,97.30363707507418,3.213127231049647,460.0,20.0,0.32,30,0.2
1,10,97.30363679707168,3.2131272113318223,460.0,20.0,0.32,30,0.2
5,1,100.0,0.0,460.0,20.0,0.32,30,0.2
5,2,83.30363826245306,2.5754515627320447,460.0,20.0,0.32,30,0.2
5,3,72.77130846550354,1.837415121458256,460.0,20.0,0.32,30,0.2
5,4,68.40399842296864,1.6919943266684796,460.0,20.0,0.32,30,0.2
5,5,66.56827849972228,1.6867108016239298,460.0,20.0,0.32,30,0.2
5,6,65.78701281119946,1.7018608163553406,460.0,20.0,0.32,30,0.2
5,7,65.4506717894522,1.7143343715207908,460.0,20.0,0.32,30,0.2
5,8,65.30431584719459,1.7220089670348857,460.0,20.0,0.32,30,0.2
5,9,65.23998549267152,1.7262871726911397,460.0,20.0,0.32,30,0.2
5,10,65.2114373073808,1.7285651791899228,460.0,20.0,0.32,30,0.2
10,1,100.0,0.0,460.0,20.0,0.32,30,0.2
10,2,77.59363542052638,2.740949970455777,460.0,20.0,0.32,30,0.2
10,3,61.66755110779207,1.6428245948646265,460.0,20.0,0.32,30,0.2
10,4,53.50229501530594,1.305924952977893,460.0,20.0,0.32,30,0.2
10,5,49.26232556596987,1.2539583070218894,460.0,20.0,0.32,30,0.2
10,6,47.03310311497833,1.2775182124672877,460.0,20.0,0.32,30,0.2
10,7,45.84741931118031,1.311082520621599,460.0,20.0,0.32,30,0.2
10,8,45.209940042120294,1.3385633307819726,460.0,20.0,0.32,30,0.2
10,9,44.86374316134418,1.3579915180045457,460.0,20.0,0.32,30,0.2
10,10,44.67396625317765,1.3708718128980268,460.0,20.0,0.32,30,0.2
15,1,100.0,0.0,460.0,20.0,0.32,30,0.2
15,2,71.06413869332661,2.5564367657759246,460.0,20.0,0.32,30,0.2
15,3,54.998448389880345,1.3994911857417722,460.0,20.0,0.32,30,0.2
15,4,45.92763744798796,0.9050978405870919,460.0,20.0,0.32,30,0.2
15,5,40.74903363244665,0.7656043282620133,460.0,20.0,0.32,30,0.2
15,6,37.76520479025877,0.7544795412841766,460.0,20.0,0.32,30,0.2
15,7,36.030591168689774,0.7764613168774038,460.0,20.0,0.32,30,0.2
15,8,35.013134823874545,0.8027807532593645,460.0,20.0,0.32,30,0.2
15,9,34.41096414709332,0.8258047001737712,460.0,20.0,0.32,30,0.2
15,10,34.05138570003428,0.8439996674055981,460.0,20.0,0.32,30,0.2
20,1,99.99999999999999,0.0,184.0,52.5,0.2135,30,0.2
20,2,103.61700824435995,3.7446222114569725,184.0,52.5,0.2135,30,0.2
20,3,92.2888235719276,3.363007422631473,184.0,52.5,0.2135,30,0.2
20,4,82.94115378869714,2.743510976213747,184.0,52.5,0.2135,30,0.2
20,5,77.26176202577956,2.4120057284121454,184.0,52.5,0.2135,30,0.2
20,6,74.0957659563137,2.2752992158232948,184.0,52.5,0.2135,30,0.2
20,7,72.38069265406693,2.2284832507128103,184.0,52.5,0.2135,30,0.2
20,8,71.45927585346296,2.2175983968485884,184.0,52.5,0.2135,30,0.2
20,9,70.96405783388127,2.2193366938110874,184.0,52.5,0.2135,30,0.2
20,10,70.69665105656706,2.2244147593909007,184.0,52.5,0.2135,30,0.2
25,1,99.99999999999999,0.0,184.0,52.5,0.2135,30,0.2
25,2,110.94251115239652,3.340600699599549,184.0,52.5,0.2135,30,0.2
25,3,98.03515746533375,2.966349721221616,184.0,52.5,0.2135,30,0.2
25,4,85.62008944162659,2.3802989965714674,184.0,52.5,0.2135,30,0.2
25,5,77.63130623780347,2.1298341607170865,184.0,52.5,0.2135,30,0.2
25,6,73.02653621049234,2.074773002235839,184.0,52.5,0.2135,30,0.2
25,7,70.46808739287148,2.090265914468245,184.0,52.5,0.2135,30,0.2
25,8,69.06222014682098,2.1226128576721157,184.0,52.5,0.2135,30,0.2
25,9,68.28998489444712,2.1532606258040015,184.0,52.5,0.2135,30,0.2
25,10,67.863766006314,2.1773608810053067,184.0,52.5,0.2135,30,0.2
30,1,99.99999999999999,0.0,184.0,52.5,0.2135,30,0.2
30,2,118.20749617171823,3.2433884729422955,184.0,52.5,0.2135,30,0.2
30,3,102.19486133713211,2.620920821115903,184.0,52.5,0.2135,30,0.2
30,4,85.42428967101665,1.870845733044471,184.0,52.5,0.2135,30,0.2
30,5,74.40083350686048,1.6329593557339932,184.0,52.5,0.2135,30,0.2
30,6,68.01615903459142,1.6392368732747633,184.0,52.5,0.2135,30,0.2
30,7,64.47146484586992,1.6997169598518238,184.0,52.5,0.2135,30,0.2
30,8,62.52877124849119,1.7575296801324811,184.0,52.5,0.2135,30,0.2
30,9,61.46541484355583,1.8013562577414217,184.0,52.5,0.2135,30,0.2
30,10,60.881188501431424,1.831795771330319,184.0,52.5,0.2135,30,0.2
40,1,99.99999999999999,0.0,184.0,52.5,0.2135,30,0.2
40,2,118.07880099616175,2.828996085546651,184.0,52.5,0.2135,30,0.2
40,3,102.40758692815598,2.362432267124599,184.0,52.5,0.2135,30,0.2
40,4,83.1983739706332,1.509382730910163,184.0,52.5,0.2135,30,0.2
40,5,69.41941751696623,1.1210992391791073,184.0,52.5,0.2135,30,0.2
40,6,61.03779250352496,1.058263033898719,184.0,52.5,0.2135,30,0.2
40,7,56.261022139686375,1.0881499064978883,184.0,52.5,0.2135,30,0.2
40,8,53.60699781255002,1.129608445442653,184.0,52.5,0.2135,30,0.2
40,9,52.14323407779771,1.1655301825241666,184.0,52.5,0.2135,30,0.2
40,10,51.33484907413711,1.1932761009222217,184.0,52.5,0.2135,30,0.2
