condition_name,DD_freq,MD_freq,PD_freq,n_pulses,interaction_coefficient,mean_frequency,frequency_spread,DD_resource_util,MD_resource_util,PD_resource_util
Equal_5Hz,5,5,5,5,-1.4164873167563081e-16,5.0,0,0.1605011450816487,0.6858856792812934,0.35620736874719683
Equal_5Hz,5,5,5,10,0.0,5.0,0,0.16399373685255236,0.8314867617573749,0.3698790301312871
Equal_5Hz,5,5,5,15,2.298939224751928e-16,5.0,0,0.16400953476083835,0.8505000754615506,0.37010508604335013
Equal_10Hz,10,10,10,5,1.467482638990425e-16,10.0,0,0.35618119397078973,0.7269337144177264,0.5188751134084735
Equal_10Hz,10,10,10,10,3.591107882349406e-16,10.0,0,0.39182588659203965,0.8950231859240758,0.5672168539578211
Equal_10Hz,10,10,10,15,-1.3163334106198442e-16,10.0,0,0.39266398201134545,0.9190137423776007,0.5695616170522558
Equal_15Hz,15,15,15,5,-1.486307981312553e-16,15.0,0,0.4824748995075645,0.7525894079298177,0.5988996715115172
Equal_15Hz,15,15,15,10,0.0,15.0,0,0.5545439899087475,0.9230965773744335,0.6724833588068815
Equal_15Hz,15,15,15,15,-2.9067890665678665e-16,15.0,0,0.5570938660637456,0.9460793731492768,0.6773706146701848
Equal_20Hz,20,20,20,5,0.0,20.0,0,0.564043943828683,0.7751259649161119,0.4376154406278434
Equal_20Hz,20,20,20,10,1.8784434809802667e-16,20.0,0,0.6610553804733245,0.94112356715843,0.4929294124945056
Equal_20Hz,20,20,20,15,-1.4052020415328438e-16,20.0,0,0.6649991160789773,0.9610894075563821,0.49526539932876845
Equal_30Hz,30,30,30,5,0.0,30.0,0,0.6598136794717347,0.8122099724171923,0.5542205447307209
Equal_30Hz,30,30,30,10,1.9995086602919713e-16,30.0,0,0.780927784576553,0.9631753235945657,0.644013566608081
Equal_30Hz,30,30,30,15,-1.556842518926479e-16,30.0,0,0.7861143572919832,0.9767962657894632,0.6481203568623185
Mixed_Low,5,10,15,5,0.0,10.0,10,0.1605011450816487,0.7269337144177264,0.5988996715115172
Mixed_Low,5,10,15,10,0.0,10.0,10,0.16399373685255236,0.8950231859240758,0.6724833588068815
Mixed_Low,5,10,15,15,2.7737099742363533e-16,10.0,10,0.16400953476083835,0.9190137423776007,0.6773706146701848
Mixed_High,15,20,30,5,1.4780974281489114e-16,21.666666666666668,15,0.4824748995075645,0.7751259649161119,0.5542205447307209
Mixed_High,15,20,30,10,1.8746676162042128e-16,21.666666666666668,15,0.5545439899087475,0.94112356715843,0.644013566608081
Mixed_High,15,20,30,15,0.0,21.666666666666668,15,0.5570938660637456,0.9610894075563821,0.6481203568623185
DD_Dominant,30,5,5,5,-1.3963385306622248e-16,13.333333333333334,25,0.6598136794717347,0.6858856792812934,0.35620736874719683
DD_Dominant,30,5,5,10,0.0,13.333333333333334,25,0.780927784576553,0.8314867617573749,0.3698790301312871
DD_Dominant,30,5,5,15,2.5651192803307803e-16,13.333333333333334,25,0.7861143572919832,0.8505000754615506,0.37010508604335013
MD_Dominant,5,30,5,5,0.0,13.333333333333334,25,0.1605011450816487,0.8122099724171923,0.35620736874719683
MD_Dominant,5,30,5,10,-1.6714039362647456e-16,13.333333333333334,25,0.16399373685255236,0.9631753235945657,0.3698790301312871
MD_Dominant,5,30,5,15,2.404327469265211e-16,13.333333333333334,25,0.16400953476083835,0.9767962657894632,0.37010508604335013
PD_Dominant,5,5,30,5,-0.013814649745933629,13.333333333333334,25,0.1605011450816487,0.6858856792812934,0.7198931509330811
PD_Dominant,5,5,30,10,-0.07200085998220308,13.333333333333334,25,0.16399373685255236,0.8314867617573749,0.8223016277935695
PD_Dominant,5,5,30,15,-0.10025427525505162,13.333333333333334,25,0.16400953476083835,0.8505000754615506,0.8295375915021443
PD_Below_Thresh,10,10,15,5,0.0,11.666666666666666,5,0.35618119397078973,0.7269337144177264,0.5988996715115172
PD_Below_Thresh,10,10,15,10,3.7441848991510965e-16,11.666666666666666,5,0.39182588659203965,0.8950231859240758,0.6724833588068815
PD_Below_Thresh,10,10,15,15,1.391421842651252e-16,11.666666666666666,5,0.39266398201134545,0.9190137423776007,0.6773706146701848
PD_Above_Thresh,10,10,25,5,-0.010783246152748721,15.0,15,0.35618119397078973,0.7269337144177264,0.68933219319758
PD_Above_Thresh,10,10,25,10,-0.07231719447418222,15.0,15,0.39182588659203965,0.8950231859240758,0.7872595279843462
PD_Above_Thresh,10,10,25,15,-0.10367268299763666,15.0,15,0.39266398201134545,0.9190137423776007,0.7944790246509448
Sweep_DD10_MD10_PD1,10,10,1,10,-1.4213388276400738e-16,7.0,9,0.39182588659203965,0.8950231859240758,0.03944470373080322
Sweep_DD10_MD10_PD5,10,10,5,10,0.0,8.333333333333334,5,0.39182588659203965,0.8950231859240758,0.3698790301312871
Sweep_DD10_MD10_PD10,10,10,10,10,3.591107882349406e-16,10.0,0,0.39182588659203965,0.8950231859240758,0.5672168539578211
Sweep_DD10_MD10_PD15,10,10,15,10,3.7441848991510965e-16,11.666666666666666,5,0.39182588659203965,0.8950231859240758,0.6724833588068815
Sweep_DD10_MD10_PD20,10,10,20,10,-0.06720223716880695,13.333333333333334,10,0.39182588659203965,0.8950231859240758,0.7398908987867295
Sweep_DD10_MD10_PD30,10,10,30,10,-0.07321394003748197,16.666666666666668,20,0.39182588659203965,0.8950231859240758,0.8223016277935695
Sweep_DD10_MD10_PD40,10,10,40,10,3.7146673413818395e-16,20.0,30,0.39182588659203965,0.8950231859240758,0.7366375165404055
Sweep_DD10_MD20_PD1,10,20,1,10,-1.4313313047204966e-16,10.333333333333334,19,0.39182588659203965,0.94112356715843,0.03944470373080322
Sweep_DD10_MD20_PD5,10,20,5,10,0.0,11.666666666666666,15,0.39182588659203965,0.94112356715843,0.3698790301312871
Sweep_DD10_MD20_PD10,10,20,10,10,1.811530360264717e-16,13.333333333333334,10,0.39182588659203965,0.94112356715843,0.5672168539578211
Sweep_DD10_MD20_PD15,10,20,15,10,3.7789330630883054e-16,15.0,10,0.39182588659203965,0.94112356715843,0.6724833588068815
Sweep_DD10_MD20_PD20,10,20,20,10,-0.0677977803581685,16.666666666666668,10,0.39182588659203965,0.94112356715843,0.7398908987867295
Sweep_DD10_MD20_PD30,10,20,30,10,3.6807196833190197e-16,20.0,20,0.39182588659203965,0.94112356715843,0.644013566608081
Sweep_DD10_MD20_PD40,10,20,40,10,1.8744336416555213e-16,23.333333333333332,30,0.39182588659203965,0.94112356715843,0.7366375165404055
Sweep_DD20_MD10_PD1,20,10,1,10,0.0,10.333333333333334,19,0.6610553804733245,0.8950231859240758,0.03944470373080322
Sweep_DD20_MD10_PD5,20,10,5,10,0.0,11.666666666666666,15,0.6610553804733245,0.8950231859240758,0.3698790301312871
Sweep_DD20_MD10_PD10,20,10,10,10,1.869030778311617e-16,13.333333333333334,10,0.6610553804733245,0.8950231859240758,0.5672168539578211
Sweep_DD20_MD10_PD15,20,10,15,10,1.9521065168059361e-16,15.0,10,0.6610553804733245,0.8950231859240758,0.6724833588068815
Sweep_DD20_MD10_PD20,20,10,20,10,-0.06994083836492165,16.666666666666668,10,0.6610553804733245,0.8950231859240758,0.7398908987867295
Sweep_DD20_MD10_PD30,20,10,30,10,1.8997349891708576e-16,20.0,20,0.6610553804733245,0.8950231859240758,0.644013566608081
Sweep_DD20_MD10_PD40,20,10,40,10,-1.936064589071883e-16,23.333333333333332,30,0.6610553804733245,0.8950231859240758,0.7366375165404055
Sweep_DD20_MD20_PD1,20,20,1,10,0.0,13.666666666666666,19,0.6610553804733245,0.94112356715843,0.03944470373080322
Sweep_DD20_MD20_PD5,20,20,5,10,0.0,15.0,15,0.6610553804733245,0.94112356715843,0.3698790301312871
Sweep_DD20_MD20_PD10,20,20,10,10,0.0,16.666666666666668,10,0.6610553804733245,0.94112356715843,0.5672168539578211
Sweep_DD20_MD20_PD15,20,20,15,10,1.9710049850317932e-16,18.333333333333332,5,0.6610553804733245,0.94112356715843,0.6724833588068815
Sweep_DD20_MD20_PD20,20,20,20,10,1.8784434809802667e-16,20.0,0,0.6610553804733245,0.94112356715843,0.4929294124945056
Sweep_DD20_MD20_PD30,20,20,30,10,1.917628388023673e-16,23.333333333333332,10,0.6610553804733245,0.94112356715843,0.644013566608081
Sweep_DD20_MD20_PD40,20,20,40,10,0.0,26.666666666666668,20,0.6610553804733245,0.94112356715843,0.7366375165404055
